id,code,state-name,state,adopted_med,pop_2015,pop_2014,pop_2013,pop_2012,un_2015,un_2014,un_2013,un_2012,rate_2015,rate_2014,rate_2013,rate_2012,diff_12_15
57,null,null,United States,null,318868500,316159900,313401200,311116152,28965900,32967500,41795100,47950684,0.091,0.104,0.133,0.154,0.063
1,AL,Alabama,Alabama,Not adopting,4833900,4768000,4763900,4816506,519400,522200,724800,711302,0.107,0.11,0.152,0.148,0.04
2,AK,Alaska,Alaska,Adopted,705300,695700,702000,704157,90500,100800,102200,133848,0.128,0.145,0.146,0.19,0.062
4,AZ,Arizona,Arizona,Adopted,6739500,6657200,6603100,6644160,844800,827100,1223000,1198324,0.125,0.124,0.185,0.18,0.055
5,AR,Arkansas,Arkansas,Adopted,2953000,2896000,2904800,2913986,268400,287200,436800,534965,0.091,0.099,0.15,0.184,0.093
6,CA,California,California,Adopted,39113900,38701300,38176400,37984727,2980600,3916700,5594100,6787453,0.076,0.101,0.147,0.179,0.102
8,CO,Colorado,Colorado,Adopted,5421300,5377400,5297800,5160260,475700,602900,654000,704532,0.088,0.112,0.123,0.137,0.049
9,CT,Connecticut,Connecticut,Adopted,3571700,3577900,3578900,3521006,216900,249200,366100,283631,0.061,0.07,0.102,0.081,0.02
10,DE,Delaware,Delaware,Adopted,959100,929500,909300,901797,65300,63000,62700,97334,0.068,0.068,0.069,0.108,0.04
11,DC,District of Columbia,District of Columbia,Adopted,676800,656900,652100,632983,27200,42300,51100,49735,0.04,0.064,0.078,0.079,0.038
12,FL,Florida,Florida,Not adopting,20085300,19731100,19429000,19183917,2544700,2874800,3619700,4116399,0.127,0.146,0.186,0.215,0.088
13,GA,Georgia,Georgia,Not adopting,10104900,9965100,9813000,9672117,1411000,1546500,1592800,1856223,0.14,0.155,0.162,0.192,0.052
15,HI,Hawaii,Hawaii,Adopted,1386000,1365400,1355600,1356119,70300,72800,68600,104845,0.051,0.053,0.051,0.077,0.027
16,ID,Idaho,Idaho,Not adopting,1659500,1610200,1600600,1589596,187500,169800,235000,252948,0.113,0.105,0.147,0.159,0.046
17,IL,Illinois,Illinois,Adopted,12701800,12797900,12769500,12736960,792300,1141300,1335800,1731845,0.062,0.089,0.105,0.136,0.074
18,IN,Indiana,Indiana,Adopted,6512100,6477500,6471300,6347894,611000,687900,814200,848573,0.094,0.106,0.126,0.134,0.04
19,IA,Iowa,Iowa,Adopted,3100600,3080800,3077400,3013081,166700,191800,250800,305640,0.054,0.062,0.081,0.101,0.048
20,KS,Kansas,Kansas,Not adopting,2852400,2853000,2817600,2835076,285300,307400,283000,358399,0.1,0.108,0.1,0.126,0.026
21,KY,Kentucky,Kentucky,Adopted,4383400,4315700,4400100,4353612,266900,289300,624100,682218,0.061,0.067,0.142,0.157,0.096
22,LA,Louisiana,Louisiana,Adopted,4604200,4556500,4532300,4466518,502900,588000,645000,819410,0.109,0.129,0.142,0.183,0.074
23,ME,Maine,Maine,Not adopting,1341900,1299600,1316500,1331818,60800,121800,123600,126202,0.045,0.094,0.094,0.095,0.049
24,MD,Maryland,Maryland,Adopted,5900500,5938900,5940900,5899487,394300,343000,682000,732544,0.067,0.058,0.115,0.124,0.057
25,MA,Massachusetts,Massachusetts,Adopted,6785700,6658100,6647700,6574815,288800,293800,208700,272126,0.043,0.044,0.031,0.041,-0.001
26,MI,Michigan,Michigan,Adopted,9862100,9906400,9892400,9741224,571200,697900,1041500,1059696,0.058,0.07,0.105,0.109,0.051
27,MN,Minnesota,Minnesota,Adopted,5463000,5418500,5381300,5356906,334100,365300,370800,443001,0.061,0.067,0.069,0.083,0.022
28,MS,Mississippi,Mississippi,Not adopting,2948600,2965300,2903600,2895317,380000,364100,414600,443685,0.129,0.123,0.143,0.153,0.024
29,MO,Missouri,Missouri,Not adopting,5962700,5961300,5969400,5963378,527000,525100,655800,793925,0.088,0.088,0.11,0.133,0.045
30,MT,Montana,Montana,Adopted,1018100,1009100,993200,1000671,102800,126600,158000,181221,0.101,0.125,0.159,0.181,0.08
31,NE,Nebraska,Nebraska,Adopted,1859800,1881000,1852000,1850302,157900,180200,171600,245418,0.085,0.096,0.093,0.133,0.048
32,NV,Nevada,Nevada,Adopted,2867400,2823400,2767100,2739627,324800,356800,534700,642493,0.113,0.126,0.193,0.235,0.121
33,NH,New Hampshire,New Hampshire,Adopted,1292800,1319700,1318500,1310039,68100,95000,151000,157199,0.053,0.072,0.115,0.12,0.067
34,NJ,New Jersey,New Jersey,Adopted,8941600,8939300,8807400,8725216,699400,954500,1034500,1223216,0.078,0.107,0.117,0.14,0.062
35,NM,New Mexico,New Mexico,Adopted,2041000,2035200,2081300,2067486,252100,236900,342200,453215,0.124,0.116,0.164,0.219,0.096
36,NY,New York,New York,Adopted,19695000,19679400,19471100,19328533,1264200,1520800,1885100,2185195,0.064,0.077,0.097,0.113,0.049
37,NC,North Carolina,North Carolina,Not adopting,9902000,9835800,9652400,9653413,1094800,1159500,1439100,1658330,0.111,0.118,0.149,0.172,0.061
38,ND,North Dakota,North Dakota,Adopted,763400,733400,714500,693431,61800,64200,77200,79739,0.081,0.088,0.108,0.115,0.034
39,OH,Ohio,Ohio,Adopted,11450900,11535600,11413600,11411263,681400,857700,1358100,1401784,0.06,0.074,0.119,0.123,0.063
40,OK,Oklahoma,Oklahoma,Not adopting,3902900,3741700,3709400,3714077,513900,583400,574200,639833,0.132,0.156,0.155,0.172,0.041
41,OR,Oregon,Oregon,Adopted,4032800,3962300,3960300,3877366,287300,310800,481400,596865,0.071,0.078,0.122,0.154,0.083
42,PA,Pennsylvania,Pennsylvania,Adopted,12595900,12627100,12772600,12692438,728000,1020800,1255700,1520611,0.058,0.081,0.098,0.12,0.062
44,RI,Rhode Island,Rhode Island,Adopted,1044800,1048200,1044300,1035662,49500,56800,95300,127703,0.047,0.054,0.091,0.123,0.076
45,SC,South Carolina,South Carolina,Not adopting,4794700,4764300,4688800,4668489,518900,614100,758000,665286,0.108,0.129,0.162,0.143,0.034
46,SD,South Dakota,South Dakota,Not adopting,848400,846800,833400,824571,78900,77600,83100,118760,0.093,0.092,0.1,0.144,0.051
47,TN,Tennessee,Tennessee,Not adopting,6616500,6502000,6400200,6428242,718100,625000,844200,892107,0.109,0.096,0.132,0.139,0.03
48,TX,Texas,Texas,Not adopting,27434400,26687400,26383500,26112554,4333600,4499500,5405700,6425592,0.158,0.169,0.205,0.246,0.088
49,UT,Utah,Utah,Not adopting,3004500,2929400,2893500,2853517,301800,339600,359700,411349,0.1,0.116,0.124,0.144,0.044
50,VT,Vermont,Vermont,Adopted,609700,617000,621400,615179,31500,35600,47700,42836,0.052,0.058,0.077,0.07,0.018
51,VA,Virginia,Virginia,Not adopting,8217200,8258800,8204100,8010896,763400,815900,944500,997665,0.093,0.099,0.115,0.125,0.032
53,WA,Washington,Washington,Adopted,7194700,7085000,6866000,6872918,493200,647200,808200,932584,0.069,0.091,0.118,0.136,0.067
54,WV,West Virginia,West Virginia,Adopted,1797500,1825500,1822000,1806105,116200,118200,213800,264286,0.065,0.065,0.117,0.146,0.082
55,WI,Wisconsin,Wisconsin,Not adopting,5738100,5747200,5641900,5648400,387400,420800,500300,549798,0.068,0.073,0.089,0.097,0.03
56,WY,Wyoming,Wyoming,Not adopting,574800,572000,582200,578341,53400,58100,91300,88797,0.093,0.102,0.157,0.154,0.061
